"","feature","frequency"
"1132","charge",38
"1133","fashion",38
"1134","star",38
"1135","louis",38
"1136","joe",37
"1137","walked",37
"1138","kitchen",37
"1139","kid",37
"1140","areas",37
"1141","address",37
"1142","restaurant",37
"1143","arts",37
"1144","earth",37
"1145","sister",37
"1146","wine",37
"1147","seemed",37
"1148","value",37
"1149","you'll",37
"1150","cheese",37
"1151","ran",37
"1152","except",37
"1153","jesus",37
"1154","nature",37
"1155","internet",37
"1156","version",37
"1157","gotta",37
"1158","tom",37
"1159","plus",37
"1160","waiting",37
"1161","rules",37
"1162","benefit",37
"1163","finish",37
"1164","de",37
"1165","sounds",37
"1166","spirit",37
"1167","regular",37
"1168","nfl",37
"1169","chicken",37
"1170","calling",36
"1171","worst",36
"1172","lack",36
"1173","isn’t",36
"1174","lucky",36
"1175","window",36
"1176","floor",36
"1177","missed",36
"1178","results",36
"1179","yards",36
"1180","wanna",36
"1181","wouldn't",36
"1182","born",36
"1183","married",36
"1184","train",36
"1185","period",36
"1186","production",36
"1187","access",36
"1188","december",36
"1189","changed",36
"1190","sat",36
"1191","mayor",36
"1192","peace",36
"1193","slow",36
"1194","victory",36
"1195","fish",36
"1196","you've",36
"1197","worse",35
"1198","lived",35
"1199","clearly",35
"1200","sitting",35
"1201","includes",35
"1202","choice",35
"1203","garden",35
"1204","novel",35
"1205","agree",35
"1206","grow",35
"1207","here's",35
"1208","helping",35
"1209","christ",35
"1210","picked",35
"1211","pass",35
"1212","cream",35
"1213","search",35
"1214","computer",35
"1215","century",35
"1216","daily",35
"1217","watched",35
"1218","michael",35
"1219","wedding",35
"1220","appreciate",35
"1221","die",35
"1222","roll",35
"1223","tickets",35
"1224","leaves",35
"1225","heavy",35
"1226","legal",35
"1227","easily",35
"1228","station",35
"1229","role",35
"1230","sports",35
"1231","brand",35
"1232","corner",35
"1233","double",35
"1234","travel",35
"1235","union",35
"1236","enjoyed",35
"1237","t",35
"1238","avenue",35
"1239","oregon",35
"1240","rich",34
"1241","m",34
"1242","poor",34
"1243","turns",34
"1244","ya",34
"1245","published",34
"1246","type",34
"1247","risk",34
"1248","commission",34
"1249","size",34
"1250","pieces",34
"1251","asking",34
"1252","santa",34
"1253","decide",34
"1254","brain",34
"1255","glad",34
"1256","straight",34
"1257","sort",34
"1258","walking",34
"1259","result",34
"1260","catch",34
"1261","florida",34
"1262","normal",34
"1263","homes",34
"1264","signed",34
"1265","football",34
"1266","bigger",34
"1267","absolutely",34
"1268","television",34
"1269","doubt",34
"1270","traffic",34
"1271","programs",34
"1272","addition",34
"1273","religious",34
"1274","cook",34
"1275","aren't",34
"1276","attorney",34
"1277","partner",34
"1278","draft",34
"1279","failure",33
"1280","exactly",33
"1281","holding",33
"1282","missing",33
"1283","offers",33
"1284","opened",33
"1285","dear",33
"1286","save",33
"1287","camera",33
"1288","dry",33
"1289","sick",33
"1290","tea",33
"1291","speaking",33
"1292","economic",33
"1293","wild",33
"1294","growing",33
"1295","option",33
"1296","tough",33
"1297","google",33
"1298","easier",33
"1299","stuck",33
"1300","owner",33
"1301","senate",33
"1302","pair",33
"1303","reports",33
"1304","hoping",33
"1305","cute",33
"1306","announced",33
"1307","mountain",33
"1308","vs",33
"1309","sex",33
"1310","receive",33
"1311","serving",33
"1312","menu",33
"1313","lower",33
"1314","meant",33
"1315","mary",33
"1316","crowd",33
"1317","immediately",32
"1318","talked",32
"1319","remain",32
"1320","enter",32
"1321","joined",32
"1322","fair",32
"1323","ride",32
"1324","boston",32
"1325","traditional",32
"1326","talks",32
"1327","arrived",32
"1328","features",32
"1329","attack",32
"1330","recipe",32
"1331","eating",32
"1332","changing",32
"1333","happens",32
"1334","los",32
"1335","unless",32
"1336","appears",32
"1337","included",32
"1338","steve",32
"1339","surprise",32
"1340","broken",32
"1341","measure",32
"1342","loves",32
"1343","protect",32
"1344","letter",32
"1345","shopping",32
"1346","spoke",32
"1347","jr",32
"1348","culture",32
"1349","guard",32
"1350","host",32
"1351","airport",32
"1352","grand",32
"1353","agency",32
"1354","gas",32
"1355","impact",32
"1356","extremely",32
"1357","network",32
"1358","various",32
"1359","totally",32
"1360","authorities",32
